Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
2017-03-16 10:47:47.968,3.288,TCP  ,10206_7,443,192.168.220.6,56595.0,18,    8229,1,.AP...,32,normal,---,---,---
2017-03-17 15:24:48.969,0.154,TCP  ,10447_157,443,192.168.200.4,55456.0,3,     803,1,.AP...,32,normal,---,---,---
2017-03-17 15:55:28.479,0.0,TCP  ,10057_29,80,192.168.220.10,47400.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-20 10:23:20.862,0.0,TCP  ,10678_131,80,192.168.220.14,52824.0,1,      54,1,.A...F,32,normal,---,---,---
2017-03-15 18:47:04.225,0.0,UDP  ,192.168.220.6,137,192.168.220.255,137.0,1,      92,1,......,0,normal,---,---,---
2017-03-15 10:30:07.089,0.0,TCP  ,192.168.220.8,49614,10081_164,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-17 09:14:31.761,0.0,TCP  ,192.168.200.8,63352,11924_154,80.0,1,      54,1,.A.R..,0,normal,---,---,---
2017-03-21 09:52:53.887,0.0,UDP  ,192.168.220.11,35985,DNS,53.0,2,     148,1,......,0,normal,---,---,---
2017-03-16 13:58:12.489,0.026,TCP  ,10074_40,443,192.168.220.16,40720.0,3,     215,1,.AP..F,32,normal,---,---,---
2017-03-16 00:44:07.323,0.0,TCP  ,192.168.100.5,445,192.168.220.5,47461.0,1,     108,1,.AP...,0,normal,---,---,---
2017-03-15 06:04:57.395,0.088,TCP  ,10000_35,443,192.168.220.16,36583.0,4,     419,1,.AP.S.,0,normal,---,---,---
2017-03-17 15:56:08.769,0.0,TCP  ,13201_231,443,192.168.220.4,37184.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-15 08:47:42.931,0.236,TCP  ,192.168.220.11,58030,10434_208,443.0,10,    1697,1,.AP.S.,0,normal,---,---,---
2017-03-21 16:38:03.058,0.0,TCP  ,192.168.220.15,50181,10651_152,80.0,1,      54,1,.A....,0,normal,---,---,---
2017-03-15 07:06:43.379,0.013,TCP  ,192.168.220.6,60300,10122_64,443.0,2,    1201,1,.AP..F,0,normal,---,---,---
2017-03-17 13:46:40.579,0.041,TCP  ,EXT_SERVER,8000,192.168.200.9,62269.0,7,     654,1,.AP.SF,32,normal,---,---,---
2017-03-15 13:36:25.939,0.0,TCP  ,192.168.200.8,59077,10060_27,80.0,2,     108,1,.A...F,0,normal,---,---,---
2017-03-15 12:32:05.683,0.0,UDP  ,192.168.220.12,60462,DNS,53.0,2,     150,1,......,0,normal,---,---,---
2017-03-20 15:00:49.624,0.0,TCP  ,10073_64,80,192.168.220.13,60850.0,1,      58,1,.A..S.,32,normal,---,---,---
2017-03-16 11:23:15.273,0.0,TCP  ,10276_216,80,192.168.220.11,42813.0,1,      54,1,.A....,32,normal,---,---,---
2017-03-20 16:13:51.051,0.047,UDP  ,192.168.220.16,46434,DNS,53.0,2,     156,1,......,0,normal,---,---,---
2017-03-20 08:21:09.961,0.055,UDP  ,DNS,53,192.168.220.4,33456.0,2,     250,1,......,0,normal,---,---,---
2017-03-21 16:35:40.606,0.0,TCP  ,10371_48,80,192.168.220.15,44732.0,1,      54,1,.A...F,32,normal,---,---,---
2017-03-17 13:39:56.393,0.0,TCP  ,10081_164,443,192.168.220.16,36921.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 12:32:52.993,0.0,UDP  ,192.168.220.16,43168,DNS,53.0,2,     144,1,......,0,normal,---,---,---
2017-03-16 06:18:34.305,0.0,TCP  ,192.168.100.5,445,192.168.220.9,55444.0,1,     108,1,.AP...,0,normal,---,---,---
2017-03-15 09:38:35.512,0.075,TCP  ,10499_34,443,192.168.220.13,56630.0,5,     531,1,.AP...,32,normal,---,---,---
2017-03-15 14:41:00.470,0.0,TCP  ,10063_33,80,192.168.220.13,40294.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-21 17:08:08.285,0.659,TCP  ,192.168.100.5,445,192.168.220.9,57866.0,1913,  131060,1,.AP...,0,normal,---,---,---
2017-03-18 17:52:37.853,0.0,TCP  ,10296_230,80,192.168.220.14,37741.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-21 12:00:07.764,0.0,TCP  ,10541_251,80,192.168.210.5,55562.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-17 15:34:41.207,0.023,TCP  ,192.168.220.15,50102,10223_4,80.0,2,     132,1,.A...F,0,normal,---,---,---
2017-03-16 14:41:47.941,1.087,TCP  ,192.168.220.7,47257,10538_95,443.0,9,    4251,1,.AP.S.,0,normal,---,---,---
2017-03-21 16:49:27.420,0.568,TCP  ,192.168.220.8,58851,10239_30,443.0,15,    5026,1,.AP.S.,0,normal,---,---,---
2017-03-21 11:41:48.128,0.004,TCP  ,10081_164,80,192.168.220.13,44610.0,2,     752,1,.AP...,0,normal,---,---,---
2017-03-20 06:42:22.533,0.018,TCP  ,10803_53,80,192.168.210.5,53693.0,2,     108,1,.A...F,32,normal,---,---,---
2017-03-17 09:06:58.376,0.0,TCP  ,192.168.220.4,34046,10056_184,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-15 15:18:30.727,0.0,TCP  ,192.168.210.5,63483,10373_141,443.0,1,      55,1,.A....,0,normal,---,---,---
2017-03-21 07:05:11.340,0.0,TCP  ,11205_114,443,192.168.210.5,65444.0,1,      54,1,.A....,32,normal,---,---,---
2017-03-21 10:29:57.958,0.0,TCP  ,192.168.220.14,42913,10057_29,80.0,1,      66,1,.A...F,0,normal,---,---,---
2017-03-20 08:38:14.001,0.167,TCP  ,192.168.220.6,36398,11155_159,80.0,3,     198,1,.A...F,0,normal,---,---,---
2017-03-19 10:17:43.841,0.0,UDP  ,192.168.100.4,35644,DNS,53.0,1,      74,1,......,0,normal,---,---,---
2017-03-15 16:00:52.103,0.0,TCP  ,10875_6,80,192.168.220.12,47867.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-21 11:54:38.518,0.07,TCP  ,192.168.220.16,52261,10305_149,443.0,8,    1655,1,.AP.SF,0,normal,---,---,---
2017-03-20 16:24:03.923,0.285,UDP  ,192.168.220.10,50692,DNS,53.0,2,     168,1,......,0,normal,---,---,---
2017-03-21 06:49:52.596,0.0,TCP  ,192.168.100.5,445,192.168.220.9,57866.0,1,      70,1,.AP...,0,normal,---,---,---
2017-03-18 13:13:09.317,1.039,TCP  ,192.168.210.5,64531,10296_238,443.0,6,     547,1,.AP...,0,normal,---,---,---
2017-03-16 06:03:13.068,0.0,TCP  ,192.168.100.5,445,192.168.220.15,33026.0,1,     108,1,.AP...,0,normal,---,---,---
2017-03-21 06:57:06.964,0.0,TCP  ,192.168.100.5,445,192.168.220.15,60101.0,1,     108,1,.AP...,0,normal,---,---,---
2017-03-21 13:32:34.229,0.075,TCP  ,192.168.220.15,59282,10394_149,80.0,5,     626,1,.AP.S.,0,normal,---,---,---
2017-03-20 11:39:44.326,0.0,TCP  ,192.168.220.10,55982,10056_48,443.0,1,      54,1,.A....,0,normal,---,---,---
2017-03-20 13:07:19.434,0.0,TCP  ,10321_204,443,192.168.200.9,53491.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-15 11:44:51.892,0.156,TCP  ,192.168.220.11,48421,10163_9,443.0,7,     757,1,.AP.S.,0,normal,---,---,---
2017-03-21 13:58:19.010,0.0,TCP  ,192.168.200.8,54686,10540_49,80.0,1,      55,1,.A....,0,normal,---,---,---
2017-03-16 16:03:58.829,0.0,TCP  ,12728_180,80,192.168.210.5,60624.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-17 06:45:55.322,0.0,TCP  ,192.168.210.5,58488,10057_30,443.0,1,      55,1,.A....,0,normal,---,---,---
2017-03-17 10:59:25.563,0.0,TCP  ,10056_234,443,192.168.220.8,41143.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-15 13:38:41.653,0.0,TCP  ,10415_65,443,192.168.220.6,55361.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-17 08:16:40.909,0.0,TCP  ,10389_108,443,192.168.220.11,42420.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-21 11:55:39.023,0.0,TCP  ,10648_199,443,192.168.220.16,39133.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-17 15:31:43.288,0.599,TCP  ,10296_226,443,192.168.200.4,52438.0,36,   57145,1,.AP...,32,normal,---,---,---
2017-03-15 19:10:51.988,0.023,TCP  ,10704_24,80,192.168.210.5,64367.0,2,     108,1,.A...F,32,normal,---,---,---
2017-03-17 12:30:28.714,0.018,TCP  ,192.168.220.6,57653,10012_51,80.0,2,     132,1,.A...F,0,normal,---,---,---
2017-03-20 10:04:38.618,0.221,TCP  ,192.168.220.12,60332,11388_60,80.0,12,    1684,1,.AP.S.,0,normal,---,---,---
2017-03-17 10:52:54.228,0.0,TCP  ,192.168.220.14,49938,10081_164,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-15 17:11:29.226,1.005,TCP  ,192.168.200.8,65342,10082_138,80.0,3,     186,1,.A..S.,0,normal,---,---,---
2017-03-20 16:01:55.453,0.0,TCP  ,10667_208,443,192.168.220.6,34110.0,1,      66,1,.A...F,32,normal,---,---,---
2017-03-16 09:58:11.607,0.021,TCP  ,192.168.220.16,60802,EXT_SERVER,8082.0,2,     338,1,.AP...,0,normal,---,---,---
2017-03-20 13:18:52.014,0.0,TCP  ,10017_40,443,192.168.220.8,50075.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-15 13:44:23.739,0.0,TCP  ,12201_83,80,192.168.220.6,46597.0,1,      54,1,.A....,32,normal,---,---,---
2017-03-16 11:46:48.564,0.156,TCP  ,10083_129,443,192.168.200.8,51807.0,5,    4662,1,.AP.S.,32,normal,---,---,---
2017-03-20 10:05:18.506,0.0,TCP  ,10593_173,443,192.168.220.16,51566.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-17 06:46:39.661,0.0,TCP  ,10022_68,80,192.168.210.5,58259.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-17 17:16:25.713,0.0,TCP  ,192.168.220.9,51573,10619_191,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-16 12:13:23.037,0.0,TCP  ,192.168.220.6,60955,11156_192,443.0,1,      54,1,.A....,0,normal,---,---,---
2017-03-20 18:32:51.123,0.0,TCP  ,192.168.200.9,63023,10514_205,80.0,1,      55,1,.A....,0,normal,---,---,---
2017-03-16 12:31:03.272,0.0,UDP  ,192.168.220.10,32934,DNS,53.0,2,     142,1,......,0,normal,---,---,---
2017-03-16 09:48:33.941,0.0,TCP  ,10193_2,443,192.168.200.9,52424.0,1,     100,1,.AP...,32,normal,---,---,---
2017-03-15 08:28:27.069,0.135,TCP  ,192.168.220.11,39124,11318_105,443.0,36,    4138,1,.AP.S.,0,normal,---,---,---
2017-03-21 07:01:00.316,0.0,TCP  ,10129_10,443,192.168.210.5,63677.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-20 14:52:13.889,0.0,TCP  ,192.168.220.14,36961,10224_165,80.0,1,      54,1,.A...F,0,normal,---,---,---
2017-03-17 07:34:55.779,0.002,TCP  ,10145_115,443,192.168.220.15,57633.0,2,     377,1,.AP...,0,normal,---,---,---
2017-03-20 11:42:37.832,0.015,TCP  ,10796_85,443,192.168.220.8,45935.0,2,     132,1,.A...F,32,normal,---,---,---
2017-03-15 13:45:59.060,0.316,TCP  ,11618_65,443,192.168.220.8,57212.0,6,    1077,1,.AP.S.,32,normal,---,---,---
2017-03-19 17:35:50.576,0.0,TCP  ,192.168.100.5,445,192.168.220.4,36940.0,1,     108,1,.AP...,0,normal,---,---,---
2017-03-20 16:21:01.125,0.0,TCP  ,192.168.220.16,59230,12324_27,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 12:28:24.605,0.027,TCP  ,192.168.220.8,33479,10587_162,80.0,2,     132,1,.A...F,0,normal,---,---,---
2017-03-15 06:21:47.092,0.0,TCP  ,10075_193,443,192.168.220.4,37173.0,2,     178,1,.AP...,32,normal,---,---,---
2017-03-17 12:10:08.090,0.0,TCP  ,10532_180,80,192.168.220.12,50611.0,1,      74,1,.A..S.,32,normal,---,---,---
2017-03-16 11:32:03.559,0.216,TCP  ,EXT_SERVER,8082,192.168.200.8,49192.0,2,     400,1,.AP...,32,normal,---,---,---
2017-03-17 15:28:19.800,0.023,TCP  ,11223_154,443,192.168.220.16,48779.0,4,     300,1,.APR.F,32,normal,---,---,---
2017-03-18 13:08:26.429,0.0,TCP  ,10313_80,80,192.168.220.7,40932.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-16 07:12:44.389,0.431,TCP  ,10223_24,80,192.168.220.7,51638.0,5,    4695,1,.AP.S.,0,normal,---,---,---
2017-03-17 14:14:17.470,0.507,TCP  ,10081_164,443,192.168.210.4,54366.0,7,    2010,1,.AP.S.,0,normal,---,---,---
2017-03-20 17:23:43.832,1.844,TCP  ,10092_107,443,192.168.200.8,53314.0,3,    1182,1,.AP...,0,normal,---,---,---
2017-03-21 12:45:41.188,0.0,TCP  ,192.168.220.10,35356,10263_186,443.0,3,     162,1,.A...F,0,normal,---,---,---
2017-03-16 17:25:50.160,0.0,TCP  ,10499_35,443,192.168.220.4,59545.0,1,      66,1,.A...F,32,normal,---,---,---
2017-03-16 15:52:31.820,0.0,TCP  ,10000_35,443,192.168.220.16,51871.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 17:11:34.132,0.168,TCP  ,192.168.220.8,55645,10614_106,443.0,11,    1511,1,.AP.S.,0,normal,---,---,---
2017-03-21 18:26:33.171,0.0,TCP  ,192.168.220.15,51132,10099_101,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-20 07:02:56.490,0.246,TCP  ,192.168.220.15,57614,10585_220,443.0,10,    1782,1,.AP.S.,0,normal,---,---,---
2017-03-15 20:23:32.607,0.0,TCP  ,192.168.100.5,445,192.168.220.16,58844.0,1,     108,1,.AP...,0,normal,---,---,---
2017-03-20 14:11:52.219,0.0,TCP  ,192.168.210.5,60294,10083_129,443.0,1,      55,1,.A....,0,normal,---,---,---
2017-03-21 10:16:39.493,0.0,TCP  ,10062_127,443,192.168.220.14,48914.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-16 10:16:24.494,0.0,TCP  ,10783_192,443,192.168.220.15,56409.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-17 12:36:13.033,0.0,TCP  ,10077_154,80,192.168.220.6,40416.0,1,      78,1,.A....,32,normal,---,---,---
2017-03-16 09:51:54.454,0.226,TCP  ,10824_135,443,192.168.200.9,52994.0,2,     200,1,.AP...,0,normal,---,---,---
2017-03-20 13:46:54.605,0.0,TCP  ,10101_145,80,192.168.200.4,52095.0,1,      66,1,.A...F,32,normal,---,---,---
2017-03-21 06:23:48.204,0.0,TCP  ,10022_166,443,192.168.220.4,33603.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-20 13:04:54.721,0.002,TCP  ,10826_232,443,192.168.200.8,55458.0,2,     721,1,.AP...,32,normal,---,---,---
2017-03-20 14:32:28.942,0.0,TCP  ,192.168.220.13,60908,10251_164,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 12:27:28.835,0.0,TCP  ,192.168.220.8,47584,10091_2,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 13:15:39.366,0.001,TCP  ,192.168.200.4,49676,10012_67,443.0,2,     108,1,...R..,32,normal,---,---,---
2017-03-16 17:56:25.179,0.073,TCP  ,11046_157,443,192.168.200.9,52232.0,5,     904,1,.AP...,32,normal,---,---,---
2017-03-16 18:33:05.780,0.0,TCP  ,192.168.100.5,445,192.168.220.16,58844.0,1,     108,1,.AP...,0,normal,---,---,---
2017-03-21 13:58:23.114,0.037,TCP  ,192.168.220.16,40022,12324_27,80.0,2,     132,1,.A...F,0,normal,---,---,---
2017-03-20 10:51:59.546,0.618,TCP  ,192.168.220.10,47051,10377_172,443.0,8,    3182,1,.AP.S.,0,normal,---,---,---
2017-03-17 19:04:15.374,0.298,TCP  ,10043_254,80,192.168.220.8,55059.0,4,     423,1,.AP.SF,0,normal,---,---,---
2017-03-21 13:33:19.280,0.0,UDP  ,192.168.220.8,42466,DNS,53.0,1,      75,1,......,0,normal,---,---,---
2017-03-16 08:17:50.411,0.593,TCP  ,192.168.220.13,54031,10842_79,443.0,10,    1325,1,.AP.S.,0,normal,---,---,---
2017-03-21 15:54:07.996,1.435,TCP  ,192.168.220.14,49565,10796_87,443.0,92,    9704,1,.AP.S.,0,normal,---,---,---
2017-03-20 09:03:14.844,0.0,TCP  ,192.168.210.5,49785,10346_242,80.0,1,      55,1,.A....,0,normal,---,---,---
2017-03-17 17:45:43.629,0.031,TCP  ,192.168.220.8,33598,10081_164,80.0,2,     132,1,.A...F,0,normal,---,---,---
2017-03-17 10:17:50.779,0.0,UDP  ,DNS,53,192.168.220.15,36838.0,2,     226,1,......,0,normal,---,---,---
2017-03-16 11:03:37.924,0.071,TCP  ,13189_219,443,192.168.220.15,39173.0,4,     424,1,.AP.S.,32,normal,---,---,---
2017-03-17 10:41:24.203,0.0,TCP  ,192.168.220.11,52563,11283_249,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-16 15:46:44.161,0.011,TCP  ,192.168.220.15,54037,192.168.100.5,445.0,2,     174,1,.AP...,0,normal,---,---,---
2017-03-17 08:32:11.873,0.0,TCP  ,192.168.220.11,44206,10145_115,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-20 15:54:45.672,0.0,TCP  ,192.168.210.5,63990,10434_208,80.0,1,      54,1,.A...F,0,normal,---,---,---
2017-03-21 12:09:49.890,0.0,TCP  ,10674_228,443,192.168.220.15,46187.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-20 16:19:48.372,0.0,TCP  ,10305_138,80,192.168.220.16,35079.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-21 07:27:53.995,0.0,TCP  ,10138_16,80,192.168.220.4,48839.0,1,      54,1,.A...F,32,normal,---,---,---
2017-03-20 06:54:26.939,0.0,TCP  ,192.168.220.6,34381,10548_92,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 09:02:03.257,0.0,TCP  ,EXT_SERVER,8082,192.168.200.8,62605.0,1,     200,1,.AP...,32,normal,---,---,---
2017-03-15 15:24:19.344,0.036,UDP  ,DNS,53,192.168.220.6,59517.0,2,     230,1,......,0,normal,---,---,---
2017-03-16 13:35:00.305,0.463,TCP  ,10593_173,443,192.168.200.9,58337.0,7,    1048,1,.AP.S.,32,normal,---,---,---
2017-03-15 07:15:00.509,0.0,TCP  ,10318_7,443,192.168.220.7,47818.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-20 09:24:30.314,0.182,TCP  ,14145_167,80,192.168.210.5,52894.0,2,     108,1,.A...F,32,normal,---,---,---
2017-03-19 10:11:55.818,0.0,UDP  ,192.168.200.8,51354,DNS,53.0,1,      81,1,......,0,normal,---,---,---
2017-03-20 08:35:26.266,0.17,TCP  ,192.168.220.4,35876,10003_193,80.0,3,    2035,1,.AP...,0,normal,---,---,---
2017-03-15 13:13:49.065,0.031,TCP  ,192.168.220.16,47334,10077_156,80.0,10,    3623,1,.AP...,0,normal,---,---,---
2017-03-20 11:40:01.202,0.0,TCP  ,192.168.220.10,38094,10318_7,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-20 11:03:35.529,0.0,TCP  ,10222_218,80,192.168.220.10,54093.0,1,      66,1,.A...F,32,normal,---,---,---
2017-03-15 13:20:15.526,0.004,UDP  ,DNS,53,192.168.220.15,55549.0,2,     264,1,......,0,normal,---,---,---
2017-03-16 07:59:35.046,0.026,TCP  ,192.168.220.7,51701,10527_6,443.0,2,     178,1,.AP...,0,normal,---,---,---
2017-03-16 11:01:02.141,0.001,TCP  ,192.168.220.6,59555,10107_27,443.0,4,     264,1,.A...F,0,normal,---,---,---
2017-03-17 07:09:02.195,0.417,TCP  ,192.168.220.4,42215,10796_85,443.0,31,    4837,1,.AP.S.,0,normal,---,---,---
2017-03-17 10:48:59.062,0.0,TCP  ,10012_72,80,192.168.220.16,49575.0,1,      66,1,.A...F,32,normal,---,---,---
2017-03-18 18:38:16.169,0.0,TCP  ,10826_232,443,192.168.220.14,57803.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-20 06:55:09.660,1.752,TCP  ,192.168.220.6,58475,10145_17,80.0,4,    1755,1,.AP...,0,normal,---,---,---
2017-03-21 15:19:30.077,0.0,TCP  ,11551_121,80,192.168.220.8,57672.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-15 09:15:34.222,0.253,TCP  ,192.168.210.4,50728,10793_138,443.0,2,     166,1,.AP...,0,normal,---,---,---
2017-03-21 12:20:58.463,0.0,TCP  ,192.168.200.5,38752,11263_237,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-15 15:57:08.121,0.0,TCP  ,11930_132,443,192.168.220.11,33435.0,2,     163,1,.AP..F,32,normal,---,---,---
2017-03-16 12:25:23.622,0.145,TCP  ,192.168.220.15,40615,13288_65,443.0,12,    1545,1,.AP.S.,0,normal,---,---,---
2017-03-15 06:04:19.359,0.325,TCP  ,192.168.220.4,59650,10012_24,80.0,746,   63121,1,.AP..F,0,normal,---,---,---
2017-03-20 10:52:39.439,0.0,TCP  ,192.168.220.10,49613,10001_8,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-20 17:51:34.673,0.0,TCP  ,12324_27,80,192.168.200.8,57820.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-20 16:45:50.555,1.828,TCP  ,10088_9,80,192.168.220.14,41520.0,9,    4985,1,.AP..F,32,normal,---,---,---
2017-03-20 11:20:44.444,0.003,UDP  ,DNS,53,192.168.220.10,57792.0,2,     322,1,......,0,normal,---,---,---
2017-03-15 16:03:41.227,0.001,UDP  ,DNS,53,192.168.220.14,44571.0,2,     472,1,......,0,normal,---,---,---
2017-03-21 08:00:25.107,0.176,TCP  ,192.168.210.5,49919,10199_14,443.0,9,    1018,1,.AP.S.,0,normal,---,---,---
2017-03-18 20:42:46.410,0.246,TCP  ,192.168.200.8,49192,EXT_SERVER,8082.0,2,319,1,.AP...,0,normal,---,---,---
2017-03-16 07:46:54.070,1.174,TCP  ,192.168.220.7,60529,11441_102,80.0,12,    6042,1,.AP.S.,0,normal,---,---,---
2017-03-17 19:11:34.468,0.0,TCP  ,192.168.210.5,57047,10918_114,80.0,1,      55,1,.A....,0,normal,---,---,---
2017-03-15 13:15:22.299,1.449,TCP  ,192.168.220.15,56633,10875_6,443.0,4,    1535,1,.AP...,0,normal,---,---,---
2017-03-15 14:32:48.767,0.065,TCP  ,192.168.220.6,53376,10060_27,80.0,6,     830,1,.AP.S.,0,normal,---,---,---
2017-03-21 11:28:58.317,0.002,UDP  ,DNS,53,192.168.220.8,43013.0,2,     225,1,......,0,normal,---,---,---
2017-03-16 13:48:52.419,0.001,TCP  ,10223_122,80,192.168.220.16,51594.0,2,     132,1,.A...F,0,normal,---,---,---
2017-03-17 08:25:08.983,0.0,TCP  ,192.168.220.11,47750,10321_204,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-20 09:37:47.441,0.0,UDP  ,192.168.220.4,36520,DNS,53.0,2,     158,1,......,0,normal,---,---,---
2017-03-17 17:46:57.567,0.0,TCP  ,11380_119,443,192.168.220.13,59312.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-21 16:59:50.498,0.0,TCP  ,11251_120,80,192.168.220.10,34921.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-20 06:56:00.226,0.044,TCP  ,10074_39,443,192.168.220.6,50406.0,6,    5052,1,.AP.S.,32,normal,---,---,---
2017-03-21 11:10:43.180,0.0,TCP  ,192.168.220.13,42625,12324_27,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-15 14:23:19.844,1.108,TCP  ,10003_195,80,192.168.220.11,60370.0,3,     900,1,.AP...,32,normal,---,---,---
2017-03-20 18:43:47.816,0.0,TCP  ,192.168.220.14,51822,10870_134,443.0,1,      66,1,.A...F,0,normal,---,---,---
2017-03-21 13:28:19.724,0.0,TCP  ,10199_3,443,192.168.220.4,46436.0,2,     178,1,.AP...,32,normal,---,---,---
2017-03-21 12:28:23.262,0.0,TCP  ,192.168.220.8,48263,10073_65,80.0,1,      54,1,.A...F,0,normal,---,---,---
2017-03-16 10:44:44.145,0.0,TCP  ,10412_239,443,192.168.220.16,54888.0,1,      54,1,.A....,32,normal,---,---,---
2017-03-20 12:17:46.464,0.0,UDP  ,DNS,53,192.168.220.16,54580.0,2,     246,1,......,0,normal,---,---,---
2017-03-16 09:09:07.839,0.001,TCP  ,10222_218,443,192.168.220.7,57834.0,2,     132,1,.A...F,32,normal,---,---,---
2017-03-16 12:05:07.512,0.0,TCP  ,192.168.220.6,60038,11184_35,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 11:30:03.100,0.024,TCP  ,10163_46,443,192.168.220.16,48191.0,3,     193,1,.AP..F,0,normal,---,---,---
2017-03-19 23:50:50.257,0.0,UDP  ,192.168.200.5,137,192.168.200.255,137.0,1,      92,1,......,0,normal,---,---,---
2017-03-16 09:16:39.006,0.065,TCP  ,10527_14,443,192.168.220.11,53116.0,9,    1022,1,.AP...,32,normal,---,---,---
2017-03-16 06:12:08.621,0.003,UDP  ,192.168.220.11,52636,DNS,53.0,2,     154,1,......,0,normal,---,---,---
